wave,country_name,n,earliest_str,latest_str,date_range
2,Cambodia,1000,Apr 2008,May 2008,Apr 2008 - May 2008
2,China,5037,Nov 2007,Dec 2008,Nov 2007 - Dec 2008
2,Hong Kong,849,Sep 2007,Dec 2007,Sep 2007 - Dec 2007
2,Indonesia,1598,Nov 2006,Nov 2006,Nov 2006
2,Japan,1067,Feb 2007,Mar 2007,Feb 2007 - Mar 2007
2,Malaysia,1218,Jul 2004,Aug 2007,Jul 2004 - Aug 2007
2,Mongolia,1210,May 2006,Jun 2006,May 2006 - Jun 2006
2,Taiwan,1587,Jan 2006,Mar 2006,Jan 2006 - Mar 2006
2,Vietnam,1200,Jun 2006,Nov 2006,Jun 2006 - Nov 2006
3,Cambodia,1200,Feb 2012,Mar 2012,Feb 2012 - Mar 2012
3,China,3468,Jun 2011,Jun 2012,Jun 2011 - Jun 2012
3,Hong Kong,1207,Sep 2012,Nov 2012,Sep 2012 - Nov 2012
3,Indonesia,1550,May 2011,Jun 2011,May 2011 - Jun 2011
3,Japan,1880,Nov 2011,Dec 2011,Nov 2011 - Dec 2011
3,Malaysia,1214,Oct 2011,Nov 2011,Oct 2011 - Nov 2011
3,Mongolia,1210,Apr 2010,May 2010,Apr 2010 - May 2010
3,Philippines,1200,Mar 2010,Mar 2010,Mar 2010
3,South Korea,1207,May 2011,May 2011,May 2011
3,Taiwan,1592,Jan 2010,Feb 2010,Jan 2010 - Feb 2010
3,Thailand,1512,Sep 2010,Dec 2010,Sep 2010 - Dec 2010
3,Vietnam,1191,Sep 2010,Oct 2010,Sep 2010 - Oct 2010
4,Cambodia,1200,Oct 2015,Nov 2015,Oct 2015 - Nov 2015
4,China,4068,Jul 2015,Mar 2016,Jul 2015 - Mar 2016
4,Hong Kong,1217,Feb 2016,Apr 2016,Feb 2016 - Apr 2016
4,Indonesia,1550,Jan 2016,Jan 2016,Jan 2016
4,Japan,1081,Jan 2016,Feb 2016,Jan 2016 - Feb 2016
4,Malaysia,1207,Oct 2014,Nov 2014,Oct 2014 - Nov 2014
4,Mongolia,1228,Jun 2014,Jul 2014,Jun 2014 - Jul 2014
4,Myanmar,1620,Jan 2015,Mar 2015,Jan 2015 - Mar 2015
4,Philippines,1200,Jul 2014,Jul 2014,Jul 2014
4,Singapore,1039,Oct 2014,Jan 2015,Oct 2014 - Jan 2015
4,South Korea,1200,Oct 2015,Nov 2015,Oct 2015 - Nov 2015
4,Taiwan,1657,Jun 2014,Oct 2014,Jun 2014 - Oct 2014
4,Thailand,1200,Aug 2014,Oct 2014,Aug 2014 - Oct 2014
4,Vietnam,1200,Oct 2015,Nov 2015,Oct 2015 - Nov 2015
6,Australia,1217,Feb 2023,Feb 2023,Feb 2023
6,Cambodia,1242,Jul 2021,May 2022,Jul 2021 - May 2022
6,Indonesia,1540,Aug 2021,Sep 2021,Aug 2021 - Sep 2021
6,Mongolia,1268,Jun 2022,Sep 2022,Jun 2022 - Sep 2022
6,Philippines,1200,Oct 2021,Oct 2021,Oct 2021
6,South Korea,1216,Jun 2022,Jul 2022,Jun 2022 - Jul 2022
6,Taiwan,1532,Sep 2022,Dec 2022,Sep 2022 - Dec 2022
6,Thailand,1200,Mar 2022,Jul 2022,Mar 2022 - Jul 2022
6,Vietnam,1237,Jul 2022,Sep 2022,Jul 2022 - Sep 2022
