country_name,wave,n,set1_pct,set2_pct,set3_pct,set4_pct
Australia,W6,1204,73.10574521232306,32.139883430474605,62.416666666666664,38.56427378964942
Cambodia,W3,981,52.556237218813905,22.438524590163937,31.020408163265305,31.030927835051546
Cambodia,W4,907,51.616499442586395,22.828507795100222,30.022075055187635,37.83783783783784
Cambodia,W6,1139,74.18502202643171,41.18689105403012,51.50976909413855,39.615736505032025
China,W3,1196,75.33444816053512,33.38912133891213,47.36401673640167,48.9504617968094
China,W4,1185,71.65957446808511,27.017841971113,43.09906858594412,50.34188034188034
Hong Kong,W3,1183,59.33786078098472,48.67408041060736,34.38030560271647,41.03653355989805
Hong Kong,W4,1203,54.73595976529757,45.95959595959596,41.37353433835846,49.666110183639404
Indonesia,W4,1392,56.108266276517924,36.76148796498906,45.98540145985402,37.61801016702977
Indonesia,W6,1402,61.9150467962563,26.978417266187048,21.904080171796707,46.00431965442765
Japan,W3,1803,41.62493043962159,25.569476082004556,29.375351716375913,25.027995520716683
Japan,W4,981,37.627811860940696,21.897810218978105,32.32848232848233,30.61855670103093
Malaysia,W3,1164,69.37716262975778,22.72333044232437,35.350043215211755,34.23344947735192
Malaysia,W4,1160,62.63066202090592,25.82608695652174,37.142857142857146,33.564614050303554
Mongolia,W3,1132,52.40213523131673,25.22768670309654,39.659803043867505,42.5
Mongolia,W4,1165,59.41530524505589,31.190269331016506,42.42160278745645,52.200172562553924
Mongolia,W6,1174,63.94148020654045,52.77777777777778,41.01899827288428,59.00514579759862
Myanmar,W3,1193,79.3103448275862,28.752107925801013,45.08816120906801,41.191275167785236
Myanmar,W4,1189,80.87615838247683,26.903553299492383,52.56950294860994,42.3728813559322
Philippines,W3,1524,48.34656084656085,24.010554089709764,24.50199203187251,47.28476821192053
Philippines,W4,1585,51.361621279290695,26.078680203045685,22.20812182741117,53.97835773392744
Philippines,W6,1186,70.9322033898305,30.008453085376164,31.837425910245553,49.703138252756574
Singapore,W3,546,35.25046382189239,29.566854990583803,7.904411764705882,11.992619926199263
Singapore,W4,1156,48.128807658833765,20.956521739130434,24.695652173913043,27.28062554300608
South Korea,W3,1061,51.09837631327603,30,34.70757430488975,42.73504273504273
South Korea,W4,1109,42.413162705667276,31.669691470054445,29.44393801276208,47.80621572212066
South Korea,W6,1208,52.867830423940156,32.5,40.19933554817276,44.94195688225539
Taiwan,W3,2904,49.18203967977723,23.64206128133705,26.12330198537095,43.026086956521745
Taiwan,W4,3114,58.18656229615134,28.552717747216764,26.81491170699804,50.64081498521196
Taiwan,W6,1504,57.14285714285714,25.466666666666665,29.799999999999997,58.945260347129505
Thailand,W3,1383,44.41997063142438,20.424597364568083,37.231680236861585,18.910963944076528
Thailand,W4,1027,48.12992125984252,34.22090729783038,39.30693069306931,26.031434184675835
Thailand,W6,1031,42.996108949416346,35.70038910505836,33.76237623762376,43.27309236947791
Vietnam,W3,1301,68.45794392523365,23.27919566898685,29.609375,29.591836734693878
Vietnam,W4,1323,71.36329017517137,21.3302752293578,21.712538226299692,28.20121951219512
Vietnam,W6,1178,59.67325881341359,20.121422376409367,12.211784799316822,20.651242502142246
