country_name,n_Rural,n_Urban,mean_proc_Rural,mean_proc_Urban,urban_effect
South Korea,652,352,1.7852760736196318,1.4403409090909092,-0.34493516452872264
Taiwan,534,588,1.8127340823970037,1.530612244897959,-0.2821218374990446
Australia,445,487,2.141573033707865,1.9342915811088295,-0.20728145259903563
Indonesia,580,293,1.5655172413793104,1.4129692832764504,-0.15254795810285993
Thailand,325,483,1.6523076923076923,1.5590062111801242,-0.09330148112756809
Mongolia,615,446,2.178861788617886,2.0896860986547083,-0.0891756899631777
Vietnam,439,128,1.1184510250569477,1.109375,-0.009076025056947712
Philippines,370,704,1.7972972972972974,1.8636363636363635,0.06633906633906617
Cambodia,107,931,2.0093457943925235,2.100966702470462,0.09162090807793843
