set,choice,ame,controls,n
Set1,1,-0.009894863531504441,base,6964
Set1,2,-0.031109940920975323,base,6964
Set1,3,0.014357436585551542,base,6964
Set1,4,0.02664736786692821,base,6964
Set2,1,-0.0036276567393175307,base,6937
Set2,2,-0.03093850141889357,base,6937
Set2,3,0.02130848100055384,base,6937
Set2,4,0.013257677157657199,base,6937
Set3,1,-0.04320734851979745,base,6930
Set3,2,0.038837682283437924,base,6930
Set3,3,0.00606799594629844,base,6930
Set3,4,-0.0016983297099390387,base,6930
Set4,1,-0.009849018682933046,base,6916
Set4,2,0.02190430516881366,base,6916
Set4,3,-0.0046665825342928685,base,6916
Set4,4,-0.0073887039515875665,base,6916
Set1,1,-0.011561484641069946,covid,6861
Set1,2,-0.022750835533632115,covid,6861
Set1,3,0.006061674309894386,covid,6861
Set1,4,0.028250645864807605,covid,6861
Set2,1,-0.0025298053577387856,covid,6835
Set2,2,-0.030858012158916998,covid,6835
Set2,3,0.018784853401653034,covid,6835
Set2,4,0.014602964115002693,covid,6835
Set3,1,-0.040411037219559166,covid,6829
Set3,2,0.03477601331002367,covid,6829
Set3,3,0.007758815842876677,covid,6829
Set3,4,-0.0021237919333414227,covid,6829
Set4,1,-0.006739590960760476,covid,6812
Set4,2,0.018472397268198274,covid,6812
Set4,3,-0.008847480816643364,covid,6812
Set4,4,-0.0028853254907944604,covid,6812
