country_name,wave,wave_year,n_winner,n_loser,mean_winner,mean_loser,loser_effect,pct_winner
Australia,W6,2020,422,585,2.090047393364929,2.12991452991453,0.04,41.9
Cambodia,W4,2014,397,85,1.3828715365239295,1.4705882352941178,0.088,82.4
Cambodia,W6,2020,693,51,2.0735930735930737,2.588235294117647,0.515,93.1
China,W3,2010,330,413,1.9090909090909092,2.1138014527845037,0.205,44.4
China,W4,2014,683,173,1.9048316251830162,2.1445086705202314,0.24,79.8
Hong Kong,W3,2010,587,390,1.7955706984667803,1.7897435897435898,-0.006,60.1
Hong Kong,W4,2014,669,327,1.9222720478325859,1.8837920489296636,-0.038,67.2
Indonesia,W4,2014,350,337,1.502857142857143,2.059347181008902,0.556,50.9
Indonesia,W6,2020,800,413,1.53,1.6101694915254237,0.08,66
Japan,W3,2010,717,518,1.2468619246861925,1.308880308880309,0.062,58.1
Japan,W4,2014,363,316,1.2038567493112948,1.3955696202531647,0.192,53.5
Malaysia,W3,2010,466,85,1.536480686695279,1.964705882352941,0.428,84.6
Malaysia,W4,2014,501,139,1.5029940119760479,1.8201438848920863,0.317,78.3
Mongolia,W3,2010,446,243,1.5044843049327354,1.6378600823045268,0.133,64.7
Mongolia,W4,2014,469,268,1.8081023454157783,1.9179104477611941,0.11,63.6
Mongolia,W6,2020,610,171,2.088524590163934,2.239766081871345,0.151,78.1
Myanmar,W3,2010,707,169,1.7963224893917964,2.2544378698224854,0.458,80.7
Myanmar,W4,2014,595,292,1.8857142857142857,2.3013698630136985,0.416,67.1
Philippines,W3,2010,725,346,1.2993103448275862,1.6271676300578035,0.328,67.7
Philippines,W4,2014,601,493,1.4043261231281199,1.7444219066937119,0.34,54.9
Philippines,W6,2020,593,247,1.84822934232715,1.9109311740890689,0.063,70.6
South Korea,W3,2010,123,272,1.2682926829268293,1.9522058823529411,0.684,31.1
South Korea,W4,2014,91,91,1.2417582417582418,2.120879120879121,0.879,50
South Korea,W6,2020,490,367,1.7428571428571429,1.7111716621253406,-0.032,57.2
Taiwan,W4,2014,1003,241,1.6031904287138585,1.6556016597510372,0.052,80.6
Taiwan,W6,2020,681,314,1.8325991189427313,1.6624203821656052,-0.17,68.4
Thailand,W3,2010,367,383,1.1662125340599454,1.206266318537859,0.04,48.9
Thailand,W4,2014,168,205,1.1488095238095237,1.4439024390243902,0.295,45
Thailand,W6,2020,104,221,1.1634615384615385,1.746606334841629,0.583,32
Vietnam,W3,2010,553,397,1.5840867992766727,1.4282115869017633,-0.156,58.2
Vietnam,W4,2014,461,510,1.3817787418655099,1.4490196078431372,0.067,47.5
