country_name,wave_label,wave,mean_ame_procedural,mean_ame_substantive,mean_ame_governance,se_agg_procedural,se_agg_substantive,se_agg_governance,proc_sub_gap,proc_sub_gap_se,proc_sub_gap_ci_low,proc_sub_gap_ci_high,n_items_procedural,n_items_substantive,n_items_governance,n_sig_procedural,n_sig_substantive,n_sig_governance
Australia,W6,6,0.004338363156599256,-0.03345170806995085,0.024774981756752763,0.009278778284550539,0.011979061674057165,0.013077355549209083,0.037790071226550107,0.015152347839351892,0.008091469461420399,0.06748867299167982,8,4,4,0,0,1
Cambodia,W3,3,0.05580347843068573,-0.07646620041111465,-0.035140756450257424,0.01315869107799212,0.01810040371200866,0.017156353608631443,0.13226967884180038,0.022378019693970384,0.08840876024161842,0.17613059744198234,8,4,4,3,3,1
Cambodia,W4,4,0.05169378555269608,-0.08048239700744458,-0.022905174097946752,0.010617964225397857,0.015530197133399776,0.013382788034729764,0.13217618256014066,0.018812979224303826,0.09530274328050517,0.16904962183977615,8,4,4,5,2,2
Cambodia,W6,6,0.056446949033979225,-0.08123558760459935,-0.03165831046336222,0.022638596810115992,0.028640109994962096,0.02503677403139481,0.13768253663857857,0.03650701255997978,0.06612879202101819,0.20923628125613897,8,4,4,4,1,1
Hong Kong,W3,3,0.09014299745784793,-0.07309596130178764,-0.10719003361390876,0.014391779635823823,0.024642802986281312,0.02361594776191424,0.16323895875963557,0.0285375377372819,0.10730538479456304,0.2191725327247081,8,4,4,5,1,3
Hong Kong,W4,4,0.11440449199983602,-0.16860738942692993,-0.06020159457274177,0.02032796046312877,0.03384374452066272,0.02908093383243308,0.2830118814267659,0.03947942527153118,0.20563220789456482,0.360391554958967,8,4,4,4,4,0
Indonesia,W3,3,-0.02024373380681774,0.016368586399924574,0.024118881213711016,0.008641846842318272,0.01341551312640781,0.01505742760052105,-0.036612320206742315,0.015957992019389737,-0.06788998456474621,-0.005334655848738427,8,4,4,0,0,1
Indonesia,W4,4,0.007418844349878097,-0.010914275492115799,-0.003923413207640173,0.007781446026704588,0.01431676181774104,0.013917594412411955,0.018333119841993897,0.01629480196910795,-0.013604692017457686,0.050270931701445476,8,4,4,1,0,0
Indonesia,W6,6,0.00740556520971999,0.0038273009133869907,-0.0186384313328253,0.008284886426335224,0.013822680360888124,0.012004120296400184,0.003578264296332999,0.01611539125980365,-0.02800790257288216,0.035164431165548155,8,4,4,2,0,1
Japan,W3,3,0.0073200445440179795,0.019673532584441038,-0.03431362167247757,0.006863601237016246,0.011576961485330071,0.013677880261263169,-0.012353488040423058,0.013458642545724542,-0.03873242743004316,0.014025451349197042,8,4,4,1,1,1
Japan,W4,4,0.02587183781296384,-0.025599488244782313,-0.026144187381144532,0.009624973544802299,0.015426872441075693,0.017573019240819273,0.05147132605774615,0.018183193037840325,0.015832267703579116,0.08711038441191318,8,4,4,2,1,0
Malaysia,W3,3,0.05476812955095326,-0.0974903234850814,-0.012045935616824752,0.017390644780822532,0.022632767659320062,0.02662049291533158,0.15225845303603466,0.028542541894749213,0.0963150709223262,0.2082018351497431,8,4,4,2,2,2
Malaysia,W4,4,0.03730575444148215,-0.04495955057835016,-0.029651958304614635,0.01378054463823165,0.019374417069489627,0.02131794780052364,0.08226530501983231,0.02377543789941262,0.035665446736983575,0.12886516330268105,8,4,4,2,1,2
Mongolia,W3,3,-0.0014418265171488483,0.005849776629560877,-0.0029661235952633865,0.009573859363558012,0.01312167950812596,0.014488091422154757,-0.007291603146709725,0.01624306794380791,-0.03912801631657323,0.02454481002315378,8,4,4,0,0,0
Mongolia,W4,4,-0.003043553771412332,0.018033045276589166,-0.011945937733764187,0.010035553333424607,0.012842500596133798,0.014739510370600275,-0.021076599048001497,0.016298532212125932,-0.05302172218376833,0.01086852408776533,8,4,4,0,0,0
Mongolia,W6,6,0.0214228189288437,-0.028362193122601177,-0.01448344473508595,0.012804781999676995,0.013579229964369258,0.019598390656143726,0.04978501205144488,0.018664349131016486,0.013202887754652566,0.0863671363482372,8,4,4,2,1,1
Myanmar,W4,4,0.06737200243637538,-0.09862414503457045,-0.03611985983817891,0.010896620338812255,0.01747059100744157,0.015043211767102391,0.16599614747094582,0.020590237612944515,0.12563928174957456,0.20635301319231708,8,4,4,5,4,1
Philippines,W3,3,0.0255310922275242,-0.019055474810878888,-0.032006709644169004,0.011087211463866686,0.015256530012783081,0.015572541274709235,0.04458656703840309,0.01885969156893738,0.007621571563285821,0.08155156251352036,8,4,4,3,1,1
Philippines,W4,4,0.029059822845258116,-0.021469852538960225,-0.03664979315155559,0.013163184005747846,0.018439037592672285,0.016472042498610538,0.05052967538421834,0.02265540819568603,0.006125075320673724,0.09493427544776295,8,4,4,0,0,0
Philippines,W6,6,0.007921309327265268,0.014515242470287796,-0.030357861124818336,0.010607125597038171,0.01708300959133965,0.013903289421342068,-0.006593933143022528,0.02010821548843022,-0.04600603550034576,0.0328181692143007,8,4,4,3,0,1
Singapore,W4,4,0.009025420379807109,-0.008019959992611358,-0.010030880767002258,0.016287646250706906,0.025606221282169897,0.02640335631423071,0.017045380372418466,0.030347421451247174,-0.042435565672026,0.07652632641686292,8,4,4,3,0,0
South Korea,W3,3,0.01335271395371446,-0.03428627380716828,0.007580845899739298,0.010451388864193965,0.015343445187006451,0.017872747232061763,0.04763898776088274,0.018564828019598488,0.011251924842469702,0.08402605067929578,8,4,4,2,0,0
South Korea,W4,4,0.012101106024535511,0.0023664429817394595,-0.02656865503081148,0.010927979366073814,0.014135737040399518,0.01711419986453293,0.009734663042796052,0.017867282801272776,-0.02528521124769859,0.0447545373332907,8,4,4,1,0,1
South Korea,W6,6,-0.0014701747144982465,-0.02911062401921643,0.032050973448212894,0.009392405269656151,0.013739085158082006,0.015893666823344255,0.027640449304718182,0.016642708245069186,-0.004979258855617421,0.06026015746505378,8,4,4,0,2,0
Taiwan,W3,3,0.038482296235074966,0.007888898866513467,-0.08485349133666349,0.008856926986779897,0.014800533701691111,0.014148647473933922,0.0305933973685615,0.01724821595133956,-0.0032131058960640398,0.06439990063318704,8,4,4,4,0,3
Taiwan,W4,4,0.044438763667064216,-0.010178831134202409,-0.07869869619992659,0.007993664210441155,0.012996195750829897,0.013046183713015254,0.05461759480126663,0.015257777410330015,0.0247123510770198,0.08452283852551346,8,4,4,7,0,3
Taiwan,W6,6,-0.02167244407841621,0.02570037319859087,0.01764451495824184,0.00967086787402357,0.014373721815788656,0.014995822703086206,-0.04737281727700708,0.017324247870383867,-0.08132834310295946,-0.013417291451054705,8,4,4,2,1,2
Thailand,W3,3,0.005170208710095421,0.013361042147329368,-0.0237014595675207,0.008765798854570676,0.016131526150708668,0.015476078929316421,-0.008190833437233947,0.01835934000746732,-0.04417513985186989,0.027793472977402,8,4,4,1,0,1
Thailand,W4,4,0.0391878826252815,-0.07111734475873073,-0.00725842049183208,0.01314842642640742,0.023673056574408262,0.023447913226878735,0.11030522738401223,0.027079415153687926,0.0572295736827839,0.16338088108524057,8,4,4,1,2,1
Thailand,W6,6,0.0748828045364462,-0.16292184592912368,0.013156236856231598,0.01563542601506834,0.0276638386884789,0.023865815173967346,0.23780465046556987,0.03177663477548964,0.17552244630561017,0.3000868546255296,8,4,4,3,3,0
