item,"Winner, Fair","Loser, Fair","Winner, Unfair","Loser, Unfair",loser_effect_fair,loser_effect_unfair,interaction,set,item_type
Reduce gap rich/poor,0.22709979315351358,0.2008488951075184,0.21223024430321008,0.18804079343846397,-0.026250898045995175,-0.02418945086474611,0.0020614471812490653,Set1,substantive
Free elections,0.3750934773894578,0.3754409399229464,0.37924413757103753,0.35527435232542004,3.4746253348860723e-4,-0.023969785245617492,-0.0243172477791061,Set1,procedural
No waste,0.1603272753823292,0.1555053668271696,0.1667549171023929,0.1688913625468046,-0.004821908555159599,0.0021364454444116887,0.006958353999571287,Set1,governance
Free expression,0.23747945407469748,0.26820479814236653,0.24177070102336268,0.28779349168930873,0.030725344067669053,0.046022790665946056,0.015297446598277004,Set1,procedural
Legislature oversight,0.13466267508625254,0.13162217103864624,0.14453897607295582,0.16615415655229557,-0.003040504047606307,0.021615180479339746,0.024655684526946053,Set2,procedural
Basic necessities,0.34400099695483116,0.31591737975617074,0.3432790017312239,0.2906929096642732,-0.028083617198660427,-0.052586092066950696,-0.02450247486829027,Set2,substantive
Organize groups,0.14488263971621146,0.17420759021349252,0.17597382427788275,0.20357702825081322,0.029324950497281066,0.02760320397293048,-0.001721746524350587,Set2,procedural
Quality services,0.37645368824270475,0.3782528589916901,0.3362081979179358,0.3395759055326177,0.0017991707489853348,0.0033677076146818585,0.0015685368656965237,Set2,governance
Law and order,0.267984055186774,0.21661209959163072,0.2415854106231959,0.19719207927486243,-0.051371955595143265,-0.04439333134833348,0.006978624246809784,Set3,governance
Media freedom,0.15179335313341455,0.1785799849161318,0.17698826641441603,0.23828039147065594,0.026786631782717257,0.061292125056239904,0.03450549327352265,Set3,procedural
Jobs for all,0.3842042747563258,0.37980426695265374,0.3801063389435969,0.33688441414162873,-0.004400007803672057,-0.04322192480196818,-0.038821916998296124,Set3,substantive
Party competition,0.19601831692348462,0.22500364853958899,0.20131998401879478,0.22764311511285168,0.028985331616104365,0.0263231310940569,-0.0026622005220474643,Set3,procedural
Protest freedom,0.1674467652613882,0.17808594393492835,0.1913796362884518,0.2055125947882864,0.010639178673540167,0.014132958499834591,0.003493779826294424,Set4,procedural
Clean politics,0.3531240259777827,0.34209019265310076,0.33499214696309887,0.34454792840655923,-0.011033833324681941,0.009555781443460365,0.020589614768142306,Set4,governance
Court protection,0.20799292010769513,0.20986406690381504,0.18352531526904578,0.2455931931169104,0.0018711467961199102,0.06206787784786463,0.06019673105174472,Set4,procedural
Unemployment aid,0.27143628865313735,0.26995979650815455,0.29010290147940343,0.2043462836882453,-0.0014764921449827995,-0.08575661779115812,-0.08428012564617532,Set4,substantive
